Deficiency Name,Deficiency,Corrective Action,Action Taken,Unit,Unit Cost
Penetration - Pitch Pan,"Pitch Pan (UP TO 6""x6"")

Size per scope:","Have trade stub lines through roof.
We will provide pitch pan and strip it into the new roof.
Fill with pourable sealer, as needed.

EXLCUSIONS:
FRAMING, WOOD BLOCKING, DECKING REPAIRS, WALK PADS, CURBS, PIPE BOXES, CURB LEVELING.
*All trash will be placed in dumpster, as provided by General Contractor or building manager/owner.",,EA,$350.00
Penetration - Plumbing Penetrations,"Plumbing Penetrations (UP TO 1.5""-4"" LEAD FLASHING)

Size per scope:","Plumber to spot location.
Have plumber stub up pipe.
Install roof jack (provided by plumber) and strip into roof.

EXLCUSIONS:
FRAMING, WOOD BLOCKING, DECKING REPAIRS, WALK PADS, CURBS, PIPE BOXES, CURB LEVELING.
*All trash will be placed in dumpster, as provided by General Contractor or building manager/owner.",,EA,$175.00
Penetration - Roof Curb,"Roof Curb (UP TO 3'x3'x12"")

Size per scope:","Curbs provided and spotted by others.
Cut roof out and install curb to metal deck.
Insulate or flash as needed.
Install cant strip and torch new roof membrane up curb and onto field of roof.
Deck cut by others unless specified on scope.

EXLCUSIONS:
FRAMING, WOOD BLOCKING, DECKING REPAIRS, WALK PADS, CURBS, PIPE BOXES, CURB LEVELING.
*All trash will be placed in dumpster, as provided by General Contractor or building manager/owner.",,EA,$400.00
Penetrations - Metal Deck Cutting,Cut metal deck for small penetrations (pipe and plumbing),Cut metal deck and cover per scope (depending on equipment being installed),,EA,$45.00
Penetrations - Metal Deck Cutting (A/C),Cut metal deck for A/C units or curbs (as spotted by others),Cut metal deck and cover per scope (depending on equipment being installed),,EA,$75.00
Pipe Seals,Inspect all pipe seals to ensure watertightness.,Reseal and apply caulk where needed.,,EA,$0.00
Pitch Pans,"Pitch Pans are placed around irregularly shaped roof penetrations and filled with grout and a pourable sealer. Although fairly common at complex penetrations, pitch pans rely on sealants to remain watertight and are susceptible to leakage over time if not properly maintained.",Inspect all pitch pans. Re-seal and/or top off with proper sealant if needed.,,LF,$0.00
Ponding,A ponding water condition is typically due to a flaw in how the original roof was designed to flow to drains or the underlying insulation has collapsed due to age or weight and created a low lying area on the roof which is now holding water.,"A ponding water condition is best corrected during a re-roof project. Outside of removing the existing insulation and starting with a new roof design, ponding water is difficult to correct.",,SF,$20.00
Previous Coating Failure,"Due to the overall age of the roof and the harsh environmental elements, the coating repairs have failed and are open. All affected areas need to be addressed as soon as possible.","Completely clean & remove any existing coatings, residue and dirt from the affected areas. Apply new 3-course fabric reinforced white Karna-Flex 502 coating to properly seal all of the failing areas.","Cleaned and removed all residue, coatings, and dirt from the affected areas. Applied new 3-course fabric reinforced white Karna-Flex 502 coating to properly seal failing areas.",LF,$50.00
Previous Repair Failure,Existing repair failing due to age or improper repair.,"We will remove the existing repair, clean and prime area and
install new patch to ensure water tightness.",,EA,$0.00
Puncture(1),"Identified (1) puncture in the TPO roofing membrane. [These deficiencies are typically caused by foot traffic, rooftop mechanical work, or even hail.]",The area surrounding the membrane puncture will need to be properly cleaned and repaired with a new TPO membrane patch. The new patch will be sealed with TPO cut edge sealant.,Properly cleaned the area surrounding the puncture. Installed new TPO membrane patch and sealed with TPO cut edge sealant.,EA,$150.00
Puncture(1),"Identified (1) puncture in the modified bitumen membrane. [These deficiencies are typically caused by foot traffic, rooftop mechanical work, or even hail.]","The area surrounding the membrane puncture will need to be primed and repaired with a new modified bitumen membrane patch. If needed, the new patch will be sealed with asphalt based roofing cement.",Properly cleaned and primed the area surrounding the puncture. Installed a new modified bitumen membrane patch and sealed with asphalt based roofing cement,EA,$150.00
Puncture(s),"Identified (2) punctures in the modified bitumen membrane. [These deficiencies are typically caused by foot traffic, rooftop mechanical work, or even hail.]","The area surrounding the membrane punctures will need to be primed and repaired with new modified bitumen membrane patches. If needed, the new patches will be sealed with asphalt based roofing cement.",Properly cleaned and primed the area surrounding the punctures. Installed new modified bitumen membrane patches and sealed with asphalt based roofing cement,EA,$150.00
Puncture(s),"Identified (2) punctures in the TPO roofing membrane. [These deficiencies are typically caused by foot traffic, rooftop mechanical work or even hail.]",The area surrounding the membrane punctures will need to be properly cleaned and repaired with new TPO membrane patches. The new patches will be sealed with TPO cut edge sealant.,Properly cleaned the area surrounding the punctures. Installed new TPO membrane patches and sealed with TPO cut edge sealant.,EA,$150.00
Punctures - Rips - Tears,"These deficiencies are typically caused by foot traffic, mechanical work, or simply by a waterproofing membrane that is at the end of it’s service life and can no longer withstand the weathering and building movement.",The area surrounding the deficiency must be cleaned. A new piece of waterproofing membrane would be installed and sealed per industry standards.,,EA,$0.00
Redistribute Ballast,"Rooftop ballast protects the underlying membrane and felts from environmental damages. Any areas, where the underlying felts or membrane is visible, require immediate attention.","Inspect rooftop for areas where ballast looks ""bare"" and redistribute the ballast wherever necessary.",,EA,$0.00
Repairs,Budgetary repair numbers for entire roof section.,Numbers are based on cost per square foot.,,SF,$0.25
Roof Debris,"Loose debris has a high probability of blowing around on the roof and causing damage to the waterproofing membrane. Screws, leaves, limbs and other sharp debris may cause punctures when stepped on or blown around.",Visually inspect the roof for any loose debris. Remove all debris from the rooftop in a safe and clean manner.,,EA,$0.00
Roof Debris,Clean debris from the roof area.,"Cleaned, removed and disposed of all debris from the roof area.","Cleaned, removed and disposed of all debris from the roof area.",EA,$0.00
Roof Penetrations (improper installation),Existing roof penetration(s) are not stripped into the roof properly. This issue has been caused by improper installation. This should be remedied in order to ensure the water tightness of the roofing system.,Spud gravel from around roof penetration(s). Clean and prime existing roof penetration(s) and torch new modified bitumen target patch around penetration(s).,,EA,$350.00
Rust/Oxidation - Rooftop Equipment,The existing protective metal is showing signs of rust/oxidation and needs to be properly treated.,"Using a wire brush, we will properly clean and remove as much of the built up rust as possible. Apply Rust-Oleum primer/paint treatment to provide a new layer of protection from future rust/oxidation.",Carefully removed and cleaned the built up rust/oxidation from the affected areas. Applied a new layer of Rust-Oleum primer/paint to treat the affected areas.,EA,$250.00
Rusted Gutter,"Clean, prime and paint interior of rusted gutter.","All rusted gutter areas have been properly cleaned, primed and painted with rustoleum.","All rusted gutter areas have been properly cleaned, primed and painted with rustoleum.",EA,$0.00
Rusted Stacks,Prime and paint rusted stacks with rust inhibiting paint.,All rusted stacks have been primed and painted with rustoleum.,All rusted stacks have been primed and painted with rustoleum.,EA,$0.00
Scuppers,"The sealing around scuppers is cracked, old or failing.",Inspect all scuppers and reseal with caulking wherever necessary.,,LF,$0.00
Shingle Roof Replacement,"Oakridge® Shingles are The Right Choice™ for long-lasting
performance and striking beauty. In addition to a wide range of
inviting, popular colors.",,,EA,$0.00
Skylight Domes,Replace cracked skylight domes with new.,"Installed new skylight domes, ordered via ""Logistics Lighting"".","Installed new skylight domes, ordered via ""Logistics Lighting"".",EA,$0.00
Small Fish-mouth/Open Seam (1),"Identified (1) open seam in the TPO roofing membrane. [Open seams in the roofing membrane are typically caused by failing seam adhesives coupled with building movement, membrane shrinkage, and stress on the seams.]",The TPO membrane surrounding the open seam must be properly cleaned. New TPO membrane will need to be installed and sealed with TPO cut edge sealant.,Properly cleaned the TPO membrane surrounding the open seam. Installed new TPO membrane patch and sealed with cut edge sealant.,EA,$375.00
Split/Damaged Base Wall Flashing Membrane,Identified (1) split/damaged area in the modified bitumen base wall flashing membrane.,Clean & prepare the split/damaged membrane area. Install new modified bitumen membrane patch to ensure a water-tight condition.,Cleaned & prepared the failed/damaged membrane area. Repaired with a new modified bitumen membrane patch to ensure a water-tight condition.,EA,$175.00
Support Slip Sheets,Install modified slip sheets under supports.,New modified slip sheets installed.,New modified slip sheets installed.,EA,$0.00
Surface Mount Caulk,"Reseal surface mount caulk trough with ""Neo Guard"" and fabric or approved sealant.",Properly resealed surface mount caulk trough.,Properly resealed surface mount caulk trough.,EA,$0.00
Tear-Off 1,,,,EA,$0.00
Temporary Repairs (caulking),Any punctures or leaks that require a repair not covered under your maintenance contract.,We will apply a temporary repair (caulking sealant) to any minor deficiencies not covered by your maintenance contract. We will take note of this deficiency and submit a quote. The extent of these repairs will not exceed more than 5 units of sealant.,,LF,$0.00
Terminations,A termination is anywhere the roof membrane ends and a new material (such as wall flashing) begins.,"Inspect all terminations, termination bars and termination counter flashings. If needed, minor repairs will be conducted and sealant will be applied.",,EA,$0.00
Walk Pad - FB,Found lose walk pad near roof hatch to be the cause of the leak behind the stage area on roof section 1. After further investigation we found that the walk pad attachment is failing and there are exposed felts with a deep puncture present underneath. This is allowing water to enter the building. We have temporarily patched the puncture.,"Remove existing walk pad, spud 3in out around the walk pad area. Remove all gravel from the area underneath the old walkpad. Install 2 new layers of modified basesheet, install layer of 1/4 iso board for protection and padding. Prime the are and install new modified bitumen membrane cap sheet.",Removed existing walk pad - spudded and removed all gravel from area. Installed new layer of 1/4 inch iso board and 2 new layers of modified base sheet. Primed and installed new modified bitumen membrane cap sheet.,EA,$600.00
Wall Expansion Joint Covers (sealants),Failed and deteriorated sealants at the wall expansion joint covers,Remove the field and brittle sealants. Properly clean and prepare the affected areas and apply new sealants to create a watertight condition,,EA,$90.00
Wall Flashing Puncture,Repair puncture in wall flashing.,Cleared and primed the area(s) surrounding the puncture(s) and repaired with a new modified bitumen membrane patch.,Cleared and primed the area(s) surrounding the puncture(s) and repaired with a new modified bitumen membrane patch.,EA,$0.00
Waterways,"Waterways such as gutters, scuppers and other drains can easily become clogged and cause major roofing issues if they are not maintained.","Inspect, clean and remove all debris from rooftop waterways (gutters, scuppers and drains). Ensure that all waterways are free flowing.",,EA,$0.00
Wood Blocks,Install support blocking under piping,Installed new wood blocking supports under all piping areas requiring support.,Installed new wood blocking supports under all piping areas requiring support.,EA,$0.00
